CBS code,Naam,Name,Value
55,Boarnsterhim,Eligible Votes,11913
1901,Bodegraven-Reeuwijk,Eligible Votes,19905
755,Boekel,Eligible Votes,5578
9001,Bonaire,Eligible Votes,2149
1681,Borger-Odoorn,Eligible Votes,15910
147,Borne,Eligible Votes,12982
654,Borsele,Eligible Votes,13285
499,Boskoop,Eligible Votes,9053
756,Boxmeer,Eligible Votes,17959
757,Boxtel,Eligible Votes,17013
758,Breda,Eligible Votes,97202
501,Brielle,Eligible Votes,9596
1876,Bronckhorst,Eligible Votes,23063
213,Brummen,Eligible Votes,12631
899,Brunssum,Eligible Votes,15715
312,Bunnik,Eligible Votes,9320
313,Bunschoten,Eligible Votes,11900
214,Buren,Eligible Votes,15649
381,Bussum,Eligible Votes,19043
502,Capelle aan den IJssel,Eligible Votes,34984
383,Castricum,Eligible Votes,22325
109,Coevorden,Eligible Votes,21410
1706,Cranendonck,Eligible Votes,11708
611,Cromstrijen,Eligible Votes,7952
1684,Cuijk,Eligible Votes,13946
216,Culemborg,Eligible Votes,15656
148,Dalfsen,Eligible Votes,17063
1891,Dantumadiel,Eligible Votes,11188
310,De Bilt,Eligible Votes,26663
1663,De Marne,Eligible Votes,6306
736,De Ronde Venen,Eligible Votes,26038
1690,De Wolden,Eligible Votes,14918
503,Delft,Eligible Votes,54809
10,Delfzijl,Eligible Votes,14118
400,Den Helder,Eligible Votes,30125
762,Deurne,Eligible Votes,17926
150,Deventer,Eligible Votes,55044
384,Diemen,Eligible Votes,13293
1774,Dinkelland,Eligible Votes,16073
504,Dirksland,Eligible Votes,5011
221,Doesburg,Eligible Votes,6756
222,Doetinchem,Eligible Votes,32538
766,Dongen,Eligible Votes,14301
58,Dongeradeel,Eligible Votes,14175
505,Dordrecht,Eligible Votes,61967
498,Drechterland,Eligible Votes,11455
1719,Drimmelen,Eligible Votes,15321
303,Dronten,Eligible Votes,23043
225,Druten,Eligible Votes,10245
226,Duiven,Eligible Votes,14760
1711,Echt-Susteren,Eligible Votes,18668
385,Edam-Volendam,Eligible Votes,16783
228,Ede,Eligible Votes,64864
317,Eemnes,Eligible Votes,5389
1651,Eemsmond,Eligible Votes,9768
770,Eersel,Eligible Votes,10930
1903,Eijsden-Margraten,Eligible Votes,14919
772,Eindhoven,Eligible Votes,110623
230,Elburg,Eligible Votes,13502
114,Emmen,Eligible Votes,60918
388,Enkhuizen,Eligible Votes,10666
153,Enschede,Eligible Votes,81930
232,Epe,Eligible Votes,19951
233,Ermelo,Eligible Votes,16236
777,Etten-Leur,Eligible Votes,22983
1722,Ferwerderadiel,Eligible Votes,4947
70,Franekeradeel,Eligible Votes,11842
653,Gaasterlân-Sleat,Eligible Votes,6382
779,Geertruidenberg,Eligible Votes,11927
236,Geldermalsen,Eligible Votes,15926
1771,Geldrop-Mierlo,Eligible Votes,21872
1652,Gemert-Bakel,Eligible Votes,16366
907,Gennep,Eligible Votes,9875
689,Giessenlanden,Eligible Votes,9170
784,Gilze en Rijen,Eligible Votes,14677
511,Goedereede,Eligible Votes,7277
664,Goes,Eligible Votes,21562
785,Goirle,Eligible Votes,13679
512,Gorinchem,Eligible Votes,18992
513,Gouda,Eligible Votes,40229
693,Graafstroom,Eligible Votes,5947
365,Graft-De Rijp,Eligible Votes,4063
786,Grave,Eligible Votes,7312
241,Groesbeek,Eligible Votes,11514
14,Groningen,Eligible Votes,117585
